Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
90,Jim Rice,2009,16,1974,1989,8,47.7,2089,9058,8225,1249,2452,373,79,382,1451,58,34,670,1423,77,315,94,5,0.298,0.352,0.502,0.854
91,Jim Thome,2018,22,1991,2012,5,73.1,2543,10313,8422,1583,2328,451,26,612,1699,19,20,1747,2548,173,165,74,1,0.276,0.402,0.554,0.956
92,Jimmie Foxx,1951,20,1925,1945,9,92.2,2317,9677,8134,1751,2646,458,125,534,1922,87,77,1452,1311,134,69,,72,0.325,0.428,0.609,1.038
93,Jimmy Collins,1945,14,1895,1908,0,53.3,1725,7460,6795,1055,1999,352,116,65,983,194,,426,266,,,,147,0.294,0.343,0.409,0.752
94,Joe Cronin,1956,20,1926,1945,7,64.8,2124,8840,7579,1233,2285,515,118,170,1424,87,71,1059,700,41,57,,166,0.301,0.39,0.468,0.857
95,Joe DiMaggio,1955,13,1936,1951,13,79.1,1736,7672,6821,1390,2214,389,131,361,1537,30,9,790,369,111,130,,14,0.325,0.398,0.579,0.977
96,Joe Gordon,2009,11,1938,1950,9,55.6,1566,6537,5707,914,1530,264,52,253,975,89,60,759,702,87,159,,41,0.268,0.357,0.466,0.822
97,Joe Kelley,1971,17,1891,1908,0,50.4,1853,8163,7006,1421,2220,358,194,65,1194,443,,911,430,,,,140,0.317,0.402,0.451,0.853
98,Joe Medwick,1968,17,1932,1948,10,54.4,1984,8143,7635,1198,2471,540,113,205,1383,42,37,437,551,101,203,,44,0.324,0.362,0.505,0.867
99,Joe Morgan,1990,22,1963,1984,10,100.4,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,76,105,96,51,0.271,0.392,0.427,0.819
100,Joe Sewell,1977,14,1920,1933,0,54.7,1903,8333,7132,1141,2226,436,68,49,1054,74,74,842,114,25,,,275,0.312,0.391,0.413,0.804
101,Joe Tinker,1946,15,1902,1916,0,53.2,1806,7167,6441,774,1690,263,114,31,785,336,12,416,526,,,,285,0.262,0.308,0.353,0.661
102,Joe Torre,2014,18,1960,1977,9,57.5,2209,8802,7874,996,2342,344,59,252,1185,23,29,779,1094,127,284,50,13,0.297,0.365,0.452,0.817
103,John McGraw,1937,17,1891,1907,0,45.7,1100,4946,3924,1024,1309,121,70,13,462,436,,836,155,,,,46,0.334,0.466,0.41,0.876
104,Johnny Bench,1989,17,1967,1983,14,75.1,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
105,Johnny Evers,1946,18,1902,1929,0,47.7,1784,7230,6137,919,1659,216,70,12,536,324,26,778,293,0,,,256,0.27,0.356,0.334,0.69
106,Johnny Mize,1981,15,1936,1953,10,70.6,1884,7372,6443,1118,2011,367,83,359,1337,28,12,856,524,150,99,,20,0.312,0.397,0.562,0.959
107,Josh Gibson,1972,14,1930,1946,12,38.3,602,2526,2168,612,808,135,58,166,733,40,,336,,11,1,0,18,0.373,0.458,0.718,1.176
108,Jud Wilson,2006,21,1923,1945,3,33.4,911,3563,3082,625,1080,203,50,77,728,104,,416,,1,0,0,26,0.35,0.434,0.524,0.958
109,Judy Johnson,1975,11,1923,1936,2,13.6,709,2884,2663,467,809,152,40,25,457,75,5,185,14,,,,30,0.304,0.35,0.419,0.769
110,Ken Griffey Jr.,2016,22,1989,2010,13,83.8,2671,11304,9801,1662,2781,524,38,630,1836,184,69,1312,1779,246,199,102,8,0.284,0.37,0.538,0.907
111,Kiki Cuyler,1968,18,1921,1938,1,48,1879,8100,7161,1305,2299,394,157,128,1065,328,148,676,752,20,53,,176,0.321,0.386,0.474,0.86
112,King Kelly,1945,16,1878,1893,0,47,1456,6457,5896,1357,1813,359,102,69,950,368,,549,418,,,,,0.307,0.368,0.438,0.806
113,Kirby Puckett,2001,12,1984,1995,10,51.2,1783,7831,7244,1071,2304,414,57,207,1085,134,76,450,965,85,188,58,23,0.318,0.36,0.477,0.837
114,Larry Doby,1998,17,1942,1959,9,56.8,1674,6920,5883,1080,1697,276,72,273,1099,64,36,945,1011,60,97,25,27,0.288,0.389,0.499,0.888
115,Larry Walker,2020,17,1989,2005,5,72.7,1988,8030,6907,1355,2160,471,62,383,1311,230,76,913,1231,117,153,65,7,0.313,0.4,0.565,0.965
116,Lloyd Waner,1967,18,1927,1945,1,29.8,1993,8337,7772,1201,2459,281,118,27,598,67,60,420,173,9,57,,108,0.316,0.353,0.393,0.747
117,Lou Boudreau,1970,15,1938,1952,8,63.2,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,40,155,,164,0.295,0.38,0.415,0.795
118,Lou Brock,1985,19,1961,1979,6,45.3,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,124,114,46,47,0.293,0.343,0.41,0.753
119,Lou Gehrig,1939,17,1923,1939,7,113.8,2164,9665,8001,1888,2721,534,163,493,1995,102,102,1508,790,114,2,,107,0.34,0.447,0.632,1.08
120,Luis Aparicio,1984,18,1956,1973,13,55.8,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
121,Luke Appling,1964,20,1930,1950,7,77.5,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,68,129,,74,0.31,0.399,0.398,0.798
122,Max Carey,1961,20,1910,1929,0,55.6,2476,10772,9363,1545,2665,419,159,70,802,738,127,1040,695,6,,,290,0.285,0.361,0.386,0.747
123,Mel Ott,1951,22,1926,1947,12,110.9,2730,11347,9456,1859,2876,488,72,511,1860,89,95,1708,896,129,82,,110,0.304,0.414,0.533,0.947
124,Mickey Cochrane,1947,13,1925,1937,2,49.7,1482,6211,5169,1041,1652,333,64,119,830,64,47,857,217,20,,,151,0.32,0.419,0.478,0.897
125,Mickey Mantle,1974,18,1951,1968,20,110.2,2401,9910,8102,1676,2415,344,72,536,1509,153,38,1733,1710,148,113,47,14,0.298,0.421,0.557,0.977
126,Mike Piazza,2016,16,1992,2007,12,59.5,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,146,229,45,0,0.308,0.377,0.545,0.922
